time,open,high,low,close,spread
1786432620,1.153745,1.153770,1.153685,1.153760,0.000022
1786432680,1.153770,1.153880,1.153770,1.153825,0.000031
1786432740,1.153820,1.153840,1.153760,1.153820,0.000038
1786432800,1.153815,1.153855,1.153810,1.153840,0.000036
1786432860,1.153825,1.153825,1.153715,1.153715,0.000026
1786432920,1.153720,1.153730,1.153640,1.153660,0.000024
1786432980,1.153650,1.153650,1.153540,1.153555,0.000031
1786433040,1.153575,1.153670,1.153575,1.153670,0.000029
1786433100,1.153665,1.153735,1.153645,1.153720,0.000033
1786433160,1.153710,1.153720,1.153675,1.153710,0.000030
1786433220,1.153720,1.153770,1.153710,1.153710,0.000032
1786433280,1.153725,1.153790,1.153710,1.153770,0.000023
1786433340,1.153760,1.153770,1.153705,1.153760,0.000031
1786433400,1.153765,1.153815,1.153745,1.153760,0.000032
1786433460,1.153780,1.153870,1.153695,1.153815,0.000033
1786433520,1.153820,1.153820,1.153695,1.153705,0.000031
1786433580,1.153710,1.153730,1.153695,1.153700,0.000030
1786433640,1.153695,1.153710,1.153695,1.153700,0.000031
1786433700,1.153680,1.153680,1.153600,1.153655,0.000028
1786433760,1.153660,1.153760,1.153660,1.153700,0.000027
1786433820,1.153700,1.153715,1.153650,1.153650,0.000030
1786433880,1.153645,1.153670,1.153615,1.153645,0.000027
1786433940,1.153635,1.153665,1.153420,1.153435,0.000027
1786434000,1.153420,1.153440,1.153370,1.153400,0.000027
1786434060,1.153395,1.153405,1.153355,1.153370,0.000033
1786434120,1.153360,1.153390,1.153340,1.153370,0.000031
1786434180,1.153360,1.153360,1.153290,1.153315,0.000031
1786434240,1.153320,1.153355,1.153265,1.153275,0.000028
1786434300,1.153285,1.153375,1.153260,1.153310,0.000030
1786434360,1.153315,1.153370,1.153295,1.153345,0.000024
1786434420,1.153325,1.153400,1.153255,1.153400,0.000026
1786434480,1.153390,1.153465,1.153360,1.153400,0.000024
1786434540,1.153390,1.153420,1.153375,1.153405,0.000025
1786434600,1.153430,1.153440,1.153300,1.153310,0.000030
1786434660,1.153300,1.153380,1.153290,1.153330,0.000027
1786434720,1.153315,1.153465,1.153310,1.153460,0.000025
1786434780,1.153465,1.153505,1.153400,1.153450,0.000026
1786434840,1.153460,1.153470,1.153410,1.153410,0.000025
1786434900,1.153405,1.153470,1.153390,1.153420,0.000027
1786434960,1.153435,1.153440,1.153380,1.153400,0.000028
1786435020,1.153395,1.153395,1.153265,1.153315,0.000029
1786435080,1.153325,1.153325,1.153205,1.153230,0.000029
1786435140,1.153240,1.153240,1.153190,1.153205,0.000025
