Etc/UTC,Open,High,Low,Close,Volume
2006-01-02T03:56:00+00:00,1.1844,1.18451,1.18432,1.18441,422400000
2006-01-02T03:57:00+00:00,1.18447,1.18451,1.18435,1.18444,619600000
2006-01-02T03:58:00+00:00,1.18438,1.18447,1.18429,1.18436,373100000
2006-01-02T03:59:00+00:00,1.18446,1.18453,1.18431,1.1844,910900000
2006-01-02T04:00:00+00:00,1.18441,1.1845,1.18428,1.18443,298300000
2006-01-02T04:01:00+00:00,1.18452,1.18452,1.18434,1.18435,541300000
2006-01-02T04:02:00+00:00,1.18441,1.18449,1.18436,1.18445,700800000
2006-01-02T04:03:00+00:00,1.18444,1.18453,1.18432,1.18453,691100000
2006-01-02T04:04:00+00:00,1.18437,1.1845,1.18432,1.18436,792500000
2006-01-02T04:05:00+00:00,1.18448,1.18451,1.18428,1.18428,819900000
2006-01-02T04:06:00+00:00,1.18431,1.18447,1.18431,1.18447,84000000
2006-01-02T04:07:00+00:00,1.18439,1.18448,1.18433,1.18437,592400000
2006-01-02T04:08:00+00:00,1.18436,1.18445,1.18432,1.18441,475900000
2006-01-02T04:09:00+00:00,1.18441,1.18453,1.18437,1.18445,746600000
2006-01-02T04:10:00+00:00,1.18442,1.18446,1.18427,1.18436,436900000
2006-01-02T04:11:00+00:00,1.18449,1.18453,1.18441,1.18452,515000000
2006-01-02T04:12:00+00:00,1.1845,1.1845,1.1843,1.18443,227500000
2006-01-02T04:13:00+00:00,1.18436,1.18449,1.18431,1.18449,330900000
2006-01-02T04:14:00+00:00,1.18434,1.18452,1.1843,1.1844,512300000
2006-01-02T04:15:00+00:00,1.1845,1.1845,1.18437,1.1844,382800000
2006-01-02T04:16:00+00:00,1.18444,1.18451,1.18431,1.18431,762500000
2006-01-02T04:17:00+00:00,1.18433,1.18453,1.18433,1.1844,757400000
2006-01-02T04:18:00+00:00,1.1844,1.1845,1.18434,1.18434,375900000
2006-01-02T04:19:00+00:00,1.18447,1.18453,1.18438,1.18438,485700000
2006-01-02T04:20:00+00:00,1.18432,1.1845,1.18432,1.18445,332000000
2006-01-02T04:21:00+00:00,1.18451,1.18451,1.18436,1.18436,752400000
2006-01-02T04:22:00+00:00,1.18434,1.18448,1.18434,1.18445,532800000
2006-01-02T04:23:00+00:00,1.18445,1.18445,1.18431,1.18441,667200000
2006-01-02T04:24:00+00:00,1.18443,1.18451,1.18434,1.18441,576900000
2006-01-02T04:25:00+00:00,1.18442,1.18451,1.1843,1.18441,506500000
2006-01-02T04:26:00+00:00,1.18442,1.1845,1.18436,1.18444,477400000
2006-01-02T04:27:00+00:00,1.18445,1.18452,1.18434,1.18442,624300000
2006-01-02T04:28:00+00:00,1.18445,1.18449,1.18432,1.1844,538700000
2006-01-02T04:29:00+00:00,1.18439,1.18449,1.18434,1.18434,429200000
2006-01-02T04:30:00+00:00,1.18434,1.18453,1.18434,1.18436,446700000
2006-01-02T04:31:00+00:00,1.18431,1.18443,1.18426,1.18443,590200000
2006-01-02T04:32:00+00:00,1.18443,1.18452,1.18433,1.18441,452500000
2006-01-02T04:33:00+00:00,1.1844,1.18442,1.18429,1.18429,318800000
2006-01-02T04:34:00+00:00,1.1844,1.18451,1.18436,1.18451,558700000
2006-01-02T04:35:00+00:00,1.1845,1.1845,1.18429,1.18429,406200000
2006-01-02T04:36:00+00:00,1.18432,1.1845,1.18428,1.1845,371700000
2006-01-02T04:37:00+00:00,1.18448,1.18456,1.18419,1.18433,375100000
2006-01-02T04:38:00+00:00,1.18445,1.18449,1.18433,1.18436,820100000
2006-01-02T04:39:00+00:00,1.18435,1.18447,1.18428,1.18436,519700000
2006-01-02T04:40:00+00:00,1.18438,1.18448,1.18428,1.18441,711300000
2006-01-02T04:41:00+00:00,1.18445,1.18447,1.18428,1.18438,289300000
2006-01-02T04:42:00+00:00,1.18438,1.18454,1.18437,1.18451,404600000
2006-01-02T04:43:00+00:00,1.18437,1.18449,1.18437,1.18447,351300000
2006-01-02T04:44:00+00:00,1.18439,1.18451,1.18434,1.1845,913200000
2006-01-02T04:45:00+00:00,1.18441,1.18449,1.18433,1.18437,715100000
2006-01-02T04:46:00+00:00,1.1844,1.18451,1.18434,1.18445,654300000
2006-01-02T04:47:00+00:00,1.18444,1.18453,1.18434,1.18437,758200000
2006-01-02T04:48:00+00:00,1.18437,1.18445,1.18434,1.18436,757500000
2006-01-02T04:49:00+00:00,1.18436,1.18448,1.18427,1.18436,496400000
2006-01-02T04:50:00+00:00,1.18432,1.18447,1.18418,1.1843,284800000
2006-01-02T04:51:00+00:00,1.18432,1.18443,1.18425,1.18433,501500000
2006-01-02T04:52:00+00:00,1.18438,1.18452,1.18432,1.18444,325200000
2006-01-02T04:53:00+00:00,1.18447,1.18452,1.18429,1.18429,576800000
2006-01-02T04:54:00+00:00,1.18434,1.1845,1.18428,1.18445,920600000
