Etc/UTC,Open,High,Low,Close,Volume
2006-01-02T10:03:00+00:00,1.72269,1.72271,1.72257,1.72259,96800000
2006-01-02T10:04:00+00:00,1.72261,1.72276,1.72261,1.72263,88600000
2006-01-02T10:05:00+00:00,1.72272,1.72272,1.72257,1.72271,29400000
2006-01-02T10:06:00+00:00,1.72268,1.72271,1.72256,1.72256,51400000
2006-01-02T10:07:00+00:00,1.7226,1.7227,1.7226,1.72265,94500000
2006-01-02T10:08:00+00:00,1.72263,1.72269,1.72262,1.72267,53046994
2006-01-02T10:09:00+00:00,1.72267,1.7227,1.72256,1.7226,12500000
2006-01-02T10:10:00+00:00,1.7226,1.72269,1.7226,1.72267,52700000
2006-01-02T10:11:00+00:00,1.72258,1.72261,1.72254,1.72257,53300000
2006-01-02T10:12:00+00:00,1.72258,1.7226,1.72256,1.72259,41200000
2006-01-02T10:13:00+00:00,1.72259,1.72259,1.72255,1.72258,23400000
2006-01-02T10:14:00+00:00,1.72258,1.72259,1.72253,1.72259,55900000
2006-01-02T10:15:00+00:00,1.72261,1.72261,1.72252,1.72257,59500000
2006-01-02T10:16:00+00:00,1.72261,1.72261,1.72248,1.72256,64100000
2006-01-02T10:18:00+00:00,1.72253,1.72254,1.72252,1.72252,36000000
2006-01-02T10:19:00+00:00,1.72259,1.72269,1.72257,1.72257,63100000
2006-01-02T10:20:00+00:00,1.72263,1.72263,1.7225,1.72263,119900000
2006-01-02T10:21:00+00:00,1.7225,1.72276,1.7225,1.72262,57800000
2006-01-02T10:22:00+00:00,1.72262,1.72262,1.72246,1.72257,113000000
2006-01-02T10:23:00+00:00,1.72267,1.72271,1.72262,1.72262,41700000
2006-01-02T10:24:00+00:00,1.72258,1.72273,1.72253,1.7227,41100000
2006-01-02T10:26:00+00:00,1.72273,1.72273,1.72253,1.72253,56000000
2006-01-02T10:27:00+00:00,1.72252,1.72261,1.72252,1.72258,65700000
2006-01-02T10:28:00+00:00,1.7226,1.7227,1.72253,1.72253,72600000
2006-01-02T10:29:00+00:00,1.72258,1.72262,1.7225,1.72252,173500000
2006-01-02T10:30:00+00:00,1.7226,1.72269,1.72258,1.72268,64800000
2006-01-02T10:31:00+00:00,1.7227,1.7227,1.72256,1.72258,63600000
2006-01-02T10:32:00+00:00,1.72259,1.72269,1.72258,1.72261,63800000
2006-01-02T10:33:00+00:00,1.72267,1.72274,1.72262,1.72274,71200000
2006-01-02T10:34:00+00:00,1.72271,1.72271,1.72259,1.72259,35300000
2006-01-02T10:35:00+00:00,1.72257,1.72271,1.72255,1.72271,51300000
2006-01-02T10:36:00+00:00,1.72265,1.7227,1.72254,1.72259,47600000
2006-01-02T10:37:00+00:00,1.72251,1.72273,1.72251,1.72262,96700000
2006-01-02T10:38:00+00:00,1.72258,1.72263,1.72251,1.72263,96300000
2006-01-02T10:39:00+00:00,1.72253,1.72258,1.72249,1.72249,16800000
2006-01-02T10:40:00+00:00,1.72251,1.72262,1.7225,1.72254,104600000
2006-01-02T10:41:00+00:00,1.72246,1.72261,1.72246,1.72261,56500000
2006-01-02T10:43:00+00:00,1.72251,1.72261,1.72247,1.72261,92100000
2006-01-02T10:44:00+00:00,1.72264,1.72271,1.72262,1.72267,43700000
2006-01-02T10:46:00+00:00,1.72269,1.7227,1.72264,1.72267,13300000
2006-01-02T10:47:00+00:00,1.72262,1.72268,1.72253,1.72268,41900000
2006-01-02T10:48:00+00:00,1.72262,1.72271,1.72255,1.72255,18000000
2006-01-02T10:49:00+00:00,1.72253,1.72269,1.72253,1.72269,59700000
2006-01-02T10:50:00+00:00,1.72272,1.72272,1.72253,1.72265,97700000
2006-01-02T10:51:00+00:00,1.72267,1.72276,1.72266,1.72268,65800000
2006-01-02T10:52:00+00:00,1.72258,1.72272,1.72258,1.72268,85900000
2006-01-02T10:53:00+00:00,1.7227,1.72273,1.7226,1.7226,60300000
2006-01-02T10:54:00+00:00,1.72266,1.72271,1.72246,1.72253,27400000
2006-01-02T10:55:00+00:00,1.72252,1.72263,1.72246,1.72255,56200000
2006-01-02T10:56:00+00:00,1.72253,1.72261,1.72248,1.72257,44200000
2006-01-02T10:57:00+00:00,1.72262,1.72271,1.72262,1.72271,21500000
2006-01-02T10:58:00+00:00,1.72273,1.72273,1.72265,1.72266,74300000
2006-01-02T10:59:00+00:00,1.7224,1.72267,1.7224,1.72263,67500000
2006-01-02T11:00:00+00:00,1.72263,1.72263,1.72253,1.72263,149000000
2006-01-02T11:01:00+00:00,1.72254,1.72271,1.72254,1.72271,88700000
2006-01-02T11:02:00+00:00,1.72262,1.72266,1.72258,1.72258,95100000
2006-01-02T11:03:00+00:00,1.72258,1.72269,1.72255,1.72255,51100000
2006-01-02T11:04:00+00:00,1.72258,1.72268,1.72256,1.72264,89900000
2006-01-02T11:05:00+00:00,1.72262,1.72267,1.72257,1.72257,31000000
2006-01-02T11:06:00+00:00,1.72268,1.72271,1.72255,1.72257,56400000
2006-01-02T11:07:00+00:00,1.72268,1.72273,1.72266,1.72268,79200000
2006-01-02T11:08:00+00:00,1.72274,1.72275,1.72262,1.72275,52800000
2006-01-02T11:09:00+00:00,1.72266,1.72266,1.72258,1.72265,67900000
2006-01-02T11:10:00+00:00,1.72269,1.7227,1.72262,1.72262,21800000
2006-01-02T11:11:00+00:00,1.72258,1.72261,1.72254,1.72257,57900000
2006-01-02T11:12:00+00:00,1.72267,1.72269,1.72255,1.72263,52400000
2006-01-02T11:13:00+00:00,1.72248,1.7226,1.72248,1.7225,43600000
2006-01-02T11:14:00+00:00,1.72253,1.72269,1.72251,1.72269,101500000
2006-01-02T11:15:00+00:00,1.7227,1.7227,1.72252,1.72258,23700000
2006-01-02T11:16:00+00:00,1.72262,1.72266,1.72262,1.72263,66900000
2006-01-02T11:17:00+00:00,1.72267,1.72269,1.72261,1.72264,51200000
2006-01-02T11:18:00+00:00,1.72263,1.72268,1.7225,1.7225,63000000
2006-01-02T11:19:00+00:00,1.72262,1.72273,1.72262,1.7227,105600000
2006-01-02T11:20:00+00:00,1.72263,1.72263,1.72253,1.72258,44900000
2006-01-02T11:21:00+00:00,1.72272,1.72272,1.72263,1.72264,19200000
2006-01-02T11:22:00+00:00,1.72269,1.72271,1.72257,1.72257,43600000
2006-01-02T11:23:00+00:00,1.72262,1.7227,1.72262,1.72264,54000000
2006-01-02T11:24:00+00:00,1.72251,1.72262,1.72244,1.72256,50400000
2006-01-02T11:25:00+00:00,1.72264,1.72268,1.72264,1.72268,71700000
2006-01-02T11:26:00+00:00,1.72257,1.72262,1.72247,1.72247,53400000
2006-01-02T11:27:00+00:00,1.72251,1.72263,1.72247,1.72263,98900000
2006-01-02T11:28:00+00:00,1.72252,1.72261,1.72249,1.72249,64700000
2006-01-02T11:29:00+00:00,1.72252,1.72267,1.72252,1.72267,128800000
2006-01-02T11:30:00+00:00,1.72265,1.72269,1.72257,1.7226,99100000
2006-01-02T11:31:00+00:00,1.72268,1.72268,1.72262,1.72262,48100000
2006-01-02T11:32:00+00:00,1.72259,1.72268,1.72254,1.72265,101200000
2006-01-02T11:34:00+00:00,1.7226,1.72271,1.72259,1.72261,67300000
2006-01-02T11:35:00+00:00,1.72254,1.72263,1.72245,1.72263,42300000
2006-01-02T11:36:00+00:00,1.72267,1.72274,1.72265,1.72274,110300000
2006-01-02T11:37:00+00:00,1.72272,1.72272,1.72252,1.72252,39400000
2006-01-02T11:38:00+00:00,1.72266,1.72267,1.72249,1.72249,95600000
2006-01-02T11:39:00+00:00,1.72254,1.72266,1.72252,1.72252,49700000
2006-01-02T11:40:00+00:00,1.72257,1.7227,1.72256,1.7227,97600000
2006-01-02T11:41:00+00:00,1.72272,1.72272,1.72248,1.72248,97600000
2006-01-02T11:42:00+00:00,1.72246,1.72271,1.72246,1.72271,75800000
2006-01-02T11:43:00+00:00,1.72269,1.72269,1.72255,1.72264,41200000
2006-01-02T11:44:00+00:00,1.72259,1.72263,1.72252,1.72263,48900000
2006-01-02T11:45:00+00:00,1.72258,1.72262,1.72254,1.72254,19600000
